timestep,mean_reward_last_100,mean_episode_length_last_100,mean_loss_last_100
167000,20796.34,67.81,16731.150158691406
168000,18909.895,60.58,15738.553515625
169000,21483.475,69.02,20847.8383984375
170000,23837.047,77.23,10593.52140625
171000,21570.627,66.95,16789.024375
172000,21764.807,67.14,18449.8901953125
173000,21567.324,64.31,23628.8629296875
174000,20783.846,63.55,13488.224169921876
175000,16554.762,49.26,12075.33986328125
176000,15631.355,52.23,16835.753046875
177000,13022.316,43.11,21313.276171875
178000,16377.745,53.42,22217.3418359375
179000,17410.291,59.63,24648.85353515625
180000,18125.959,62.68,21503.54203125
181000,17799.656,59.9,19024.3658984375
182000,19048.605,63.61,20022.843017578125
183000,17887.627,53.04,19284.049677734376
184000,17421.756,54.51,22707.193447265625
185000,17245.396,54.77,22399.1108203125
186000,15402.191,49.27,16943.271015625
187000,16214.209,50.12,16027.80439453125
188000,15325.445,46.55,25962.604638671874
189000,16819.775,52.59,21773.2566796875
190000,21217.79,65.37,24385.1109765625
191000,23982.31,73.7,16721.824482421875
192000,22172.705,66.92,19938.07431640625
193000,20938.65,63.75,24018.66470703125
194000,21954.008,66.49,14799.55595703125
195000,23653.46,74.91,13691.271547851562
196000,23249.68,71.93,17178.98654296875
197000,20600.148,65.64,15240.687626953126
198000,21447.404,71.88,23366.365390625
199000,21796.38,72.64,8305.30919921875
200000,23779.508,79.41,14070.087978515625
