timestep,mean_reward_last_100,mean_episode_length_last_100,mean_loss_last_100,mean_entropy_last_100
76000,12770.750112899997,99.86,4101640.25,0.0
77000,13522.527027430004,99.86,4101640.25,0.0
78000,13512.576445370003,99.86,3198046.5,0.0
79000,13335.935812420003,99.86,3198046.5,0.0
80000,13075.78392997,99.86,3198046.5,0.0
81000,12876.36687315,99.86,3198046.5,0.0
82000,12125.615795579997,99.85,2563481.9,0.0
83000,11435.66988977,99.85,2404840.75,0.0
84000,11269.833333249995,99.85,2404840.75,0.0
85000,11422.709027569997,99.85,2404840.75,0.0
86000,10950.84421379,99.85,2404840.75,0.0
87000,10343.473482379999,99.85,2328891.75,0.0
88000,10881.252861550001,99.85,2328891.75,0.0
89000,10781.75465413,99.85,2328891.75,0.0
90000,10556.282327699999,99.85,2328891.75,0.0
91000,10733.14693334,99.85,3266124.25,0.0
92000,11288.038702029999,100.0,3266124.25,0.0
93000,11074.7066108,100.0,3266124.25,0.0
94000,11627.73441042,100.0,3266124.25,0.0
95000,11474.052680480001,100.0,3374427.5,0.0
96000,11816.08244102,100.0,3374427.5,0.0
97000,12394.63005574,100.0,3374427.5,0.0
98000,12379.27154297,100.0,3374427.5,0.0
99000,12303.424802739999,100.0,2833305.75,0.0
100000,12837.133329409999,100.0,2833305.75,0.0
101000,12950.746068200002,100.0,2833305.75,0.0
102000,12948.45406061,99.82,2833305.75,0.0
103000,13361.939023999998,99.82,3256945.25,0.0
104000,12564.122376379997,99.82,3256945.25,0.0
105000,12769.149668680002,99.82,3256945.25,0.0
106000,12448.87304594,99.82,3256945.25,0.0
107000,11928.04368307,99.82,2732500.75,0.0
108000,12088.73091482,99.82,2732500.75,0.0
109000,12247.317469680002,99.82,2732500.75,0.0
110000,11871.884344500002,99.82,2732500.75,0.0
111000,12041.39695484,99.82,3705584.0,0.0
112000,12313.564181450003,100.0,3705584.0,0.0
113000,12286.595250650002,100.0,3705584.0,0.0
114000,12669.928474579998,100.0,3705584.0,0.0
115000,12594.040553479997,100.0,3538590.5,0.0
116000,13034.782740710001,100.0,3538590.5,0.0
117000,13387.627851799998,100.0,3538590.5,0.0
118000,13212.058865320001,100.0,3538590.5,0.0
119000,12945.63253728,100.0,2889717.25,0.0
120000,13151.82796996,100.0,2889717.25,0.0
121000,12995.53695849,100.0,2889717.25,0.0
122000,12695.238338179997,100.0,2889717.25,0.0
123000,12486.52837187,100.0,3427841.25,0.0
124000,12981.884781839999,100.0,3427841.25,0.0
125000,13358.8683133,100.0,3427841.25,0.0
126000,13428.632939450003,100.0,3427841.25,0.0
127000,13552.001149519998,100.0,3581121.09,0.0
128000,13730.97164559,100.0,4066507.25,0.0
129000,14408.732106610001,100.0,4066507.25,0.0
130000,14211.646587220002,100.0,4066507.25,0.0
131000,14234.40415729,100.0,4066507.25,0.0
132000,14004.377724390002,100.0,4716688.0,0.0
133000,14450.3814614,100.0,4716688.0,0.0
134000,14263.111655069997,100.0,4716688.0,0.0
135000,13951.0273465,99.94,4716688.0,0.0
136000,13662.622536800001,99.94,4523048.0,0.0
137000,13621.710575039999,99.94,4523048.0,0.0
138000,13589.576637379998,99.94,4523048.0,0.0
139000,13031.882949159997,99.94,4523048.0,0.0
140000,12935.303187999998,99.94,3463575.5,0.0
141000,12772.74945068,99.94,3463575.5,0.0
142000,13258.27991287,99.94,3463575.5,0.0
143000,12698.503878300004,99.94,3463575.5,0.0
144000,12353.784527310001,99.94,2730112.5,0.0
145000,12722.145193099997,100.0,2730112.5,0.0
146000,12713.719297529997,100.0,2730112.5,0.0
147000,13076.23919403,100.0,2730112.5,0.0
148000,13051.818123509998,100.0,4354043.0,0.0
149000,13792.755423529998,100.0,4354043.0,0.0
150000,13776.877164979998,100.0,4354043.0,0.0
151000,14340.96638086,100.0,4354043.0,0.0
152000,14236.731473660002,100.0,3396867.75,0.0
153000,14919.88320692,100.0,3396867.75,0.0
154000,15039.89648883,100.0,3396867.75,0.0
155000,14930.556184519999,100.0,3396867.75,0.0
156000,15260.849330609997,100.0,3728489.25,0.0
157000,14572.577374180004,100.0,3728489.25,0.0
158000,14441.473220149997,100.0,3728489.25,0.0
159000,14294.536327500002,100.0,3728489.25,0.0
160000,14485.331672559994,100.0,3693064.5,0.0
161000,14028.437687220001,100.0,3693064.5,0.0
162000,14141.17218652,100.0,3693064.5,0.0
163000,13574.98262073,100.0,3693064.5,0.0
164000,13622.163466459999,100.0,4594945.5,0.0
165000,13426.338643770001,99.91,4594945.5,0.0
166000,12962.743040360003,99.68,4594945.5,0.0
167000,13487.926011080002,99.68,4594945.5,0.0
168000,13640.992501000002,99.68,3979527.26,0.0
169000,12783.59668269,99.68,3633354.5,0.0
170000,12969.695666189997,99.68,3633354.5,0.0
171000,13084.48538117,99.68,3633354.5,0.0
172000,12733.93457057,99.68,3633354.5,0.0
173000,13421.239680530001,99.68,3422778.75,0.0
174000,13164.428772779998,99.68,3422778.75,0.0
175000,13420.89856685,99.77,3422778.75,0.0
176000,13546.626956910002,100.0,3422778.75,0.0
177000,13389.78281982,100.0,3347377.5,0.0
178000,13096.093982749995,100.0,3347377.5,0.0
179000,13985.378106220001,100.0,3347377.5,0.0
180000,14176.91638782,99.9,3347377.5,0.0
